"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-cost MEMS accelerometer network for rotating machine vibration diagnostics","L. A. dos Santos Pedotti; R. M. Zago; M. Giesbrecht; F. Fruett","Fed. Technol. Univ. of Parana, Curitiba, Brazil; NA; Sch. of Electr. & Comput. Eng., Univ. of Campinas, Campinas, Brazil; Sch. of Electr. & Comput. Eng., Univ. of Campinas, Campinas, Brazil","IEEE Instrumentation & Measurement Magazine","22 Oct 2020","2020","23","7","25","33","In this paper a wireless sensor network (WSN) with lowcost nodes (less than $US 30.00) is presented. The nodes are based on microelectromechanical systems (MEMS) accelerometers and a highly-integrated microcontroller with built-in antenna for Wi-Fi and Bluetooth Low-Energy (BLE). The system was specially designed to analyze unbalance, load, and rotor obstructions in a rotating machine. Two sensor nodes were installed on an apparatus: one in the shaft and the other on the support table. The acceleration signals were used to analyze the machine vibration in the frequency domain by its Fast Fourier Transform (FFT). This spectrum was pre-analyzed on the sensor node, and the most significant features were sent to a cloud platform. These nodes were mounted to acquire vibration from an electric bicycle motor. Three situations were simulated: unbalance, using weights at the endings of rim spokes; mechanical load, using neodymium magnets, through the principle of eddy currents; and rotor obstruction, using an object made with a nylon cable. The solution presented was used to measure vibration and calculate its spectrum and send it to the cloud. The signals were analyzed using three strategies: an FFT amplitude level comparison, logistic regression, and neural network (NN). The analyses were carried out using the signals of each sensor independently and as a sensor network, this last showing better results. It was possible to diagnose each type of fault inserted in the tests, proving that the device developed can be used in industries as a low-cost alternative to monitor the health of rotating machines.","1941-0123","","10.1109/MIM.2020.9234762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234762","","Vibrations;Cloud computing;Micromechanical devices;DC motors;Rotating machines;Shafts;Accelerometers;Wireless sensor networks;Rotors","acceleration measurement;accelerometers;antennas;bicycles;Bluetooth;computerised instrumentation;electric machines;fast Fourier transforms;fault diagnosis;microcontrollers;microsensors;neural nets;regression analysis;vibration measurement;wireless LAN;wireless sensor networks","logistic regression;microcontroller;BLE;NN;MEMS accelerometer network;neural network;FFT amplitude level comparison;mechanical load;electric bicycle motor;cloud platform;fast Fourier transform;frequency domain analysis;acceleration signals;support table;sensor node;rotating machine;rotor obstruction;Bluetooth low-energy;Wi-Fi;microelectromechanical system accelerometers;wireless sensor network;machine vibration diagnostics","","","","35","","22 Oct 2020","","","IEEE","IEEE Magazines"
"Dynamic Estimation of Unsaturated Buffer in Context-Aware M2M WiFi Network","Y. Chen; G. Lin; H. Wei","Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Dept. of Electr. Eng., Nat. Taiwan Univ., Taipei, Taiwan","2014 IEEE International Conference on Internet of Things (iThings), and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom)","16 Mar 2015","2014","","","308","311","We propose a Particle Filter framework to perform online estimation for an unsaturated buffer of the stations in the Machine to Machine (M2M) WiFi network. The dynamical variation of the traffic affects the performance severely in the M2M WiFi network. The exist researches for analyzing the unsaturated condition in the network is based on the steady-state model, whereas this proposed method is devoted to dynamically estimate the probability distribution of the packet existence in the unsaturated buffer of the stations. The estimation accuracy and effectiveness are evaluated by Root Mean Square Error. The proposed dynamic estimation is more aware of the traffic change in the varying wireless M2M WiFi network compared to the other works by the static analyzing model.","","978-1-4799-5967-9","10.1109/iThings.2014.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7059681","","Estimation;IEEE 802.11 Standards;Mathematical model;Throughput;Wireless communication;Markov processes;Artificial neural networks","particle filtering (numerical methods);program diagnostics;ubiquitous computing;wireless LAN","unsaturated buffer dynamic estimation;context-aware M2M WiFi network;particle filter framework;machine to machine WiFi network;steady-state model;probability distribution estimation;root mean square error;static analysis model","","1","","9","","16 Mar 2015","","","IEEE","IEEE Conferences"
"Cross Layer Anomaly Based Intrusion Detection System","P. Satam","NSF Center for cloud & Autonomic Comput., Univ. of Arizona, Tucson, AZ, USA","2015 IEEE International Conference on Self-Adaptive and Self-Organizing Systems Workshops","29 Oct 2015","2015","","","157","161","Since the start of the 21st century, computer networks have been through an exponential growth in terms of the network capacity, the number of the users and the type of tasks that are performed over the network. With the resent boom of mobile devices (e.g., Tablet computers, smart phones, smart devices, and wearable computing), the number of network users is bound to increase exponentially. But, most of the communications protocols, that span over the 7 layers of the OSI model, were designed in the late 1980's or 90's. Although most of these protocols have had subsequent updates over time, most of these protocols still remain largely unsecure and open to attacks. Hence it is critically important to secure these protocols across the 7 layers of the OSI model. As a part of my PhD research, I am working on a cross layer anomaly behavior detection system for various protocols. This system will be comprised of intrusion detection systems (IDS) for each of the protocols that are present in each layer. The behavior analysis of each protocol will be carried out in two phases. In the first phase (training), the features that accurately characterize the normal operations of the protocol are identified using data mining and statistical techniques and then use them to build a runtime model of protocol normal operations. In addition, some known attacks against the studied protocol are also studied to develop a partial attack model for the protocol. The anomaly behavior analysis modules of each layer are then fused to generate a highly accurate detection system with low false alarms. In the second phase, the cross-layer anomaly based IDS is used to detect attacks against any communication protocols. We have already developed anomaly behavior modules for TCP, UDP, IP, DNS and Wi-Fi protocols. Our experimental results show that our approach can detect attacks accurately and with very low false alarms.","","978-1-4673-8439-1","10.1109/SASOW.2015.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306574","Cross layer anomaly based intrusion detection system;machine learning;data mining;DNS;Wi-Fi","Protocols;Intrusion detection;Cross layer design;Conferences;IEEE 802.11 Standard;Databases;Open systems","data mining;protocols;security of data;statistical analysis","cross layer anomaly based intrusion detection system;computer networks;network capacity;mobile devices;tablet computers;smart phones;smart devices;wearable computing;communications protocols;OSI model;IDS;data mining;statistical techniques;partial attack model;anomaly behavior analysis modules;Wi-Fi protocols;DNS protocols;IP protocols;UDP protocols;TCP protocols;false alarms","","3","","7","","29 Oct 2015","","","IEEE","IEEE Conferences"
"CSI-IANet: An Inception Attention Network for Human-Human Interaction Recognition Based on CSI Signal","M. H. Kabir; M. H. Rahman; W. Shin","Department of Electrical and Computer Engineering, Ajou University, Suwon, Republic of Korea; Department of Electrical and Electronic Engineering, Islamic University, Kushtia, Bangladesh; Department of Electrical and Computer Engineering, Ajou University, Suwon, Republic of Korea","IEEE Access","24 Dec 2021","2021","9","","166624","166638","In recent years, Wi-Fi infrastructures have become ubiquitous, providing device-free passive-sensing features. Wi-Fi signals can be affected by their reflection, refraction, and absorption by moving objects in their path. The channel state information (CSI), a signal property indicator, of the Wi-Fi signal can be analyzed for human activity recognition (HAR). Deep learning-based HAR models can enhance performance and accuracy without sacrificing computational efficiency. However, to save computational power, an inception network, which uses a variety of techniques to boost speed and accuracy, can be adopted. In contrast, the concept of spatial attention can be applied to obtain refined features. In this paper, we propose a human–human interaction (HHI) classifier, CSI-IANet, which uses a modified inception CNN with a spatial-attention mechanism. The CSI-IANet consists of three steps: i) data processing, ii) feature extraction, and iii) recognition. The data processing layer first uses the second-order Butterworth low-pass filter to denoise the CSI signal and then segment it before feeding it to the model. The feature extraction layer uses a multilayer modified inception CNN with an attention mechanism that uses spatial attention in an intense structure to extract features from captured CSI signals. Finally, the refined features are exploited by the recognition section to determine HHIs correctly. To validate the performance of the proposed CSI-IANet, a publicly available HHIs CSI dataset with a total of 4800 trials of 12 interactions was used. The performance of the proposed model was compared to those of existing state-of-the-art methods. The experimental results show that CSI-IANet achieved an average accuracy of 91.30%, which is better than that of the existing best method by 5%.","2169-3536","","10.1109/ACCESS.2021.3134794","Institute of Information and Communications Technology Planning and Evaluation(grant numbers:2021-0-00467); BK21 FOUR Program of the NRF; Ministry of Education(grant numbers:NRF5199991514504); Basic Science Research Programs under the National Research Foundation of Korea (NRF); Ministry of Science and ICT(grant numbers:2019R1C1C1006806,2021R1A4A1030775); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9646919","Channel state information (CSI);convolution neural network (CNN);deep learning;inception module;spatial attention","Wireless fidelity;Feature extraction;Sensors;Hidden Markov models;Wireless communication;Robot sensing systems;Wireless sensor networks","Butterworth filters;convolutional neural nets;deep learning (artificial intelligence);feature extraction;image filtering;image motion analysis;low-pass filters;wireless LAN","human-human interaction classifier;CSI-IANet;spatial-attention mechanism;CSI signal;feature extraction layer;multilayer modified inception CNN;inception attention network;human-human interaction recognition;Wi-Fi infrastructures;device-free passive-sensing features;Wi-Fi signal;signal property indicator;human activity recognition;deep learning-based HAR models;HHI CSI dataset;second-order Butterworth low-pass filter;HHI classifier;data processing","","","","52","CCBY","10 Dec 2021","","","IEEE","IEEE Journals"
"eHeart-BP, Prototype of the Internet of Things to Monitor Blood Pressure","N. G. Bolívar Pulgarín; L. D. Cangrejo Aljure; O. J. Salcedo Parra",Universidad Nacional de Colombia; Universidad Nacional de Colombia; Universidad Nacional de Colombia,"2019 IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","25 Nov 2019","2019","","","58","63","The Internet of Things paradigm has a wide range of scenarios that capture information of different nature and essentially make communication easier. Sensing is one of the most interesting scenarios by making possible to perform biometric measurements. This allows the supporting of relevant decisions related to the health and well-being of individuals, besides, biometric measurements can be performed and being reported in real time to experts in the health area. Providing a path to timely preventive healthcare. The main biometric parameter of interest in this paper is blood pressure (BP), which is related with the high rates of death in Colombia and the world cause by arterial hypertension. This could be prevented by its timely measurement and systematic monitoring. Nevertheless, it is notorious the absence of a practical gadget or methodology that satisfies the requirements focus on a portable and comfortable BP monitoring system. The objective of this research is the design and development of a wireless communication prototype, based on a physical arterial blood pressure monitor which will be able to send data to a web server due to an integrated ESP8266 Wifi interconnection module. This article presents the prototype design, technological integration and components implemented. While it is true that multiple monitoring systems have been developed, in this case there are highlighted some machine learning algorithms associated with monitoring of BP measurements. This proves a technological integration which involves data collection in the cloud, pervasive computing, embedded systems and data analysis. These algorithms are still a work in progress and will be published as a E-heartBP continuation.","","978-1-7281-4687-4","10.1109/CHASE48038.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8908647","Internet of Things (IoT), Blood Pressure, Machine Learning, Telemedicine","Monitoring;Biomedical monitoring;Blood pressure;Prototypes;Medical services;Machine learning algorithms;Internet of Things","biometrics (access control);blood pressure measurement;blood vessels;data analysis;embedded systems;health care;Internet of Things;learning (artificial intelligence);medical computing;patient monitoring;ubiquitous computing","eHeart-BP;Internet of Things;biometric measurements;health area;preventive healthcare;arterial hypertension;systematic monitoring;portable BP monitoring system;wireless communication prototype;physical arterial blood pressure monitor;integrated ESP8266 Wifi interconnection module;BP measurements","","2","","18","","25 Nov 2019","","","IEEE","IEEE Conferences"
"Research on Indoor Positioning Algorithm Based on Information Fusion","J. Cao; X. Zhang; J. Lv; X. Wu; H. Yang","Shandong Jianzhu University,School of Information and Electrical Engineering,Jinan,China; Shandong Jianzhu University,School of Information and Electrical Engineering,Jinan,China; Shandong Jianzhu University,School of Information and Electrical Engineering,Jinan,China; Shandong Jianzhu University,School of Information and Electrical Engineering,Jinan,China; Shandong Jianzhu University,School of Information and Electrical Engineering,Jinan,China","2020 IEEE 5th International Conference on Signal and Image Processing (ICSIP)","4 Feb 2021","2020","","","844","850","In order to make full use of the advantages brought by information fusion to improve the accuracy of indoor positioning, this paper proposes an indoor positioning algorithm based on Wi-Fi and video. The algorithm uses the received signal strength RSSI and video data as basic information. First, the model of the convolutional neural network is used to complete the fingerprint Wi-Fi indoor positioning based on RSSI and the YOLOv3 algorithm is used to detect moving targets at the same time in the same measured space. Then, based on the indoor positioning results of Wi-Fi, the indoor positioning results are transformed into the pixel coordinate system of moving object detection of the surveillance video at the same time through coordinate conversion, and the two types of target detection information are merged to complete the double positioning of moving objects. The experimental results show that under the premise that the timeliness can meet the requirements, the combination of the two methods improves the accuracy and location distribution.","","978-1-7281-6896-8","10.1109/ICSIP49896.2020.9339295","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9339295","CNN;fingerprint positioning;video positioning;information fusion","Visualization;Object detection;Fingerprint recognition;Position measurement;Time measurement;Convolutional neural networks;Wireless fidelity","indoor communication;indoor navigation;indoor radio;mobile radio;neural nets;object detection;wireless LAN","indoor positioning algorithm;information fusion;received signal strength RSSI;video data;fingerprint Wi-Fi indoor positioning;YOLOv3 algorithm;indoor positioning results;target detection information;double positioning","","","","13","","4 Feb 2021","","","IEEE","IEEE Conferences"
"A Pointer Network Based Deep Learning Algorithm for User Pairing in Full-Duplex Wi-Fi Networks","Y. Zhang; Q. Wu; M. Shikh-Bahaei","Center of Telecommunications Research, King's College London, London, U.K.; Center of Telecommunications Research, King's College London, London, U.K.; Center of Telecommunications Research, King's College London, London, U.K.","IEEE Transactions on Vehicular Technology","26 Oct 2020","2020","69","10","12363","12368","We propose a novel deep learning based method to solve the user pairing problem in a full-duplex (FD) Wi-Fi network which consists of one FD Access Point and multiple half-duplex users where the number of users is dynamic. With the objective of maximising the total sum rate of all uplink and downlink user pairs, a user pairing problem is formulated. A traditional method such as Hungarian algorithm for this problem requires high computational complexity, which is impractical when the number of users increases. In this paper, we solve this problem using pointer network with lower computational complexity. Specifically, a pointer network with beam search technique and collision avoidance policy is developed and applied to the user pairing problem of different scaled scenarios. We compare our prediction performance with other two low-complexity methods called greedy assignment and random assignment algorithms. Simulation results show that our proposed method can effectively and efficiently solve the user pairing problems for both fixed and dynamic number of users. Meanwhile, our proposed method outperforms the two benchmark methods in terms of optimal ratio, average bias ratio and average total sum rate.","1939-9359","","10.1109/TVT.2020.3011613","Engineering, and Physical Science Research Council (EPSRC) through the SENSE(grant numbers:EP/P003486/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146728","Full-duplex;user pairing;linear sum assignment;pointer network;deep learning","Machine learning;Heuristic algorithms;Wireless fidelity;Complexity theory;Optimization;Decoding;Vehicle dynamics","computational complexity;learning (artificial intelligence);optimisation;search problems;telecommunication computing;telecommunication congestion control;wireless LAN","downlink user;user pairing problem;pointer network;deep learning algorithm;full-duplex Wi-Fi network;multiple half-duplex users;FD Wi-Fi networks;FD access point;total sum rate maximization;uplink user;computational complexity;beam search technique;collision avoidance policy;prediction performance","","","","16","IEEE","23 Jul 2020","","","IEEE","IEEE Journals"
"WicLoc: An indoor localization system based on WiFi fingerprints and crowdsourcing","J. Niu; B. Wang; L. Cheng; J. J. P. C. Rodrigues","State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, China; State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, China; State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, China; Instituto de Telecomunicações, University of Beira Interior, Portugal","2015 IEEE International Conference on Communications (ICC)","10 Sep 2015","2015","","","3008","3013","WiFi fingerprint-based indoor localization techniques have been proposed and widely used in recent years. Most solutions need a site survey to collect fingerprints from interested locations to construct the fingerprint database. However, the site survey is labor-intensive and time-consuming. To overcome this shortcoming, we record user motions as well as WiFi signals without the active participation of the users to construct the fingerprint database, in place of the previous site survey. In this paper, we develop an indoor localization system called WicLoc, which is based on WiFi fingerprinting and crowdsourcing. We design a fingerprint model to form fingerprints of each location of interest after fingerprint collection. We propose a weighted KNN (K-Nearest Neighbor) algorithm to assign different weights to APs and achieve room-level localization. To obtain the absolute coordinate of users, we design a novel MDS (Multi-Dimensional Scaling) algorithm called MDS-C (Multi-Dimensional Scaling with Calibrations) to calculate coordinates of interested locations in the corridor and rooms, where anchor points are used to calibrate absolute coordinates of users. Experimental results show that our system can achieve a competitive localization accuracy compared with state-of-the-art WiFi fingerprint-based methods while avoiding the labor-intensive site survey.","1938-1883","978-1-4673-6432-4","10.1109/ICC.2015.7248785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7248785","Indoor localization;WiFi Fingerprints;Crowdsourcing;K-Nearest Neighbor;Multi-Dimensional Scaling","IEEE 802.11 Standard;Accuracy;Training;Databases;Fingerprint recognition;Testing;Correlation","calibration;indoor communication;radio direction-finding;wireless LAN","WiFi fingerprint-based indoor localization techniques;site survey;fingerprint database;user motions;WiFi signals;WicLoc;crowdsourcing;fingerprint model;fingerprint collection;weighted KNN algorithm;K-nearest neighbor algorithm;room-level localization;multi-dimensional scaling algorithm;MDS-C;calibrations;anchor points;absolute coordinates","","56","","23","","10 Sep 2015","","","IEEE","IEEE Conferences"
"Security architecture for UAV","V. D. Mikhailova; M. G. Shulika; E. S. Basan; O. Y. Peskova","Institute of Computer Technologies and Information Security, Southern Federal University,Taganrog,Russia; Institute of Computer Technologies and Information Security, Southern Federal University,Taganrog,Russia; Institute of Computer Technologies and Information Security, Southern Federal University,Taganrog,Russia; Institute of Computer Technologies and Information Security, Southern Federal University,Taganrog,Russia","2021 Ural Symposium on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)","24 Jun 2021","2021","","","0431","0434","Cyber-physical systems are used in many areas of human life. But people do not pay enough attention to ensuring the security of these systems. As a result of the resulting security gaps, an attacker can launch an attack, not only shutting down the system, but also having some negative impact on the environment. The article examines denial of service attacks in ad-hoc networks, conducts experiments and considers the consequences of their successful execution. As a result of the research, it was determined that an attack can be detected by changes in transmitted traffic and processor load. The cyber-physical system operates on stable algorithms, and even if legal changes occur, they can be easily distinguished from those caused by the attack. The article shows that the use of statistical methods for analyzing traffic and other parameters can be justified for detecting an attack. This study shows that each attack affects traffic in its own way and creates unique patterns of behavior change. The experiments were carried out according to methodology with changings in the intensity of the attacks, with a change in normal behavior. The results of this study can further be used to implement a system for detecting attacks on cyber-physical systems. The collected datasets can be used to train the neural network.","","978-1-7281-7691-8","10.1109/USBEREIT51232.2021.9455039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9455039","cyber-physical systems;vulnerabilities;threats;attacks;wireless;ad-hoc systems;Wi-Fi","Statistical analysis;Law;Neural networks;Computer architecture;Cyber-physical systems;Ad hoc networks;Security","ad hoc networks;aerospace communication;autonomous aerial vehicles;computer network security;control engineering computing;cyber-physical systems;statistical analysis;telecommunication traffic","security architecture;cyber-physical system;UAV;denial of service attacks;adhoc networks;transmitted traffic;processor load;neural network;statistical methods;traffic analysis","","","","16","","24 Jun 2021","","","IEEE","IEEE Conferences"
"Improved localization by mal-function Wi-Fi detection and DCT/quantization in disaster environments","J. H. Jin; Y. B. Song; D. K. Kim","Dept. of Information and Communication Engineering, Inha University, Incheon 402-751, South Korea; Dept. of Information and Communication Engineering, Inha University, Incheon 402-751, South Korea; Dept. of Information and Communication Engineering, Inha University, Incheon 402-751, South Korea","2016 International Conference on Information and Communication Technology Convergence (ICTC)","5 Dec 2016","2016","","","474","477","In indoor environments, the KNN algorithm is useful for positioning method. The conventional KNN algorithm, however, is unsuitable in disaster scenarios because user devices receive distorted information. To solve this problem, we first recognize whether a disaster situation happens or not, and perform KNN algorithm after elimination of mal-function Wi-Fi(s). Also, we solve inherent large amount of data problem of the KNN algorithm by using DCT (Discrete Cosine Transform)/ Quantization compression method, and analyze the positioning accuracy and capacity reduction ratio of the proposed method through intensive simulations.","","978-1-5090-1325-8","10.1109/ICTC.2016.7763516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7763516","","IEEE 802.11 Standard;Databases;Euclidean distance;Discrete cosine transforms;Quantization (signal);Indoor environments;Performance evaluation","data compression;disasters;discrete cosine transforms;quantisation (signal);radionavigation;signal detection;wireless LAN","mal-function Wi-Fi detection;DCT;disaster environments;KNN algorithm;indoor environments;positioning method;discrete cosine transform;quantization compression method;capacity reduction ratio;positioning accuracy analysis","","","","4","","5 Dec 2016","","","IEEE","IEEE Conferences"
"WiLocus: CSI Based Human Tracking System in Indoor Environment","G. Yang","Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China","2016 Eighth International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)","13 Jun 2016","2016","","","915","918","Human tracking in indoor environment plays an important role in intelligent housing system that enables the smart appliances to provide fine-grained services with the information of users' walking trajectories. This paper presents a device-free human tracking system only using existing commercial WiFi supported devices and smart appliances. We consider that a human walking trajectory consists of a series of moving behaviors and we can determine the trajectory by detect those behaviors. Those behaviors can be sensed according to their influence on the signals of neighboring WiFi devices (we call these devices Check Points). A machine learning method is used to train a classifier to identify the above behaviors. Furthermore, an uniform trace recording format consisting of the moving behaviors series, is designed for thewalking trajectories comparison. By calculating the similarity between the measured human trace and stored trace profiles, we can determine the specific trajectory. Our experimental evaluation in three different scenarios shows that our approach can achieve over 95% average accuracy on moving behaviors identification and over 90% average accuracy on trace determination.","2157-1481","978-1-5090-2312-7","10.1109/ICMTMA.2016.219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7488695","WiFi;Channel State Information(CSI);Human Tracking;Device-Free;Trace Based Services(TBS)","Trajectory;Legged locomotion;Home appliances;IEEE 802.11 Standard;MIMO;Portable computers;Encoding","indoor environment;learning (artificial intelligence);object tracking;wireless LAN","WiLocus:CSI;human tracking system;indoor environment;device-free human tracking system;commercial WiFi supported devices;smart appliances;moving behaviors;machine learning method;uniform trace recording format","","5","","11","","13 Jun 2016","","","IEEE","IEEE Conferences"
"Detecting DDoS attacks using decision tree algorithm","S. Lakshminarasimman; S. Ruswin; K. Sundarakantham","Department of Computer Science and Engineering, Thiagarajar College of Engineering, Tamil Nadu, India; Department of Computer Science and Engineering, Thiagarajar College of Engineering, Tamil Nadu, India; Department of Computer Science and Engineering, Thiagarajar College of Engineering, Tamil Nadu, India","2017 Fourth International Conference on Signal Processing, Communication and Networking (ICSCN)","30 Oct 2017","2017","","","1","6","The Wide-reaching usage of the standard called as IEEE 802.111 has been acting as a solution to support aggressive network coverage with high bandwidth raised various security threats. The wide use of the Wi-Fi (Wireless Fidelity) has enabled us to easily access the internet and it has also paved way for the origin of many hacking attacks. Anomaly detection as applied to detecting active data breaches is possible on several things such as end user along with management discover it repeatedly trying to understanding with distributed denial of service (DDoS) attack. A new approach for anomaly detection using Decision Tree procedure to secure wireless nodes inside the network and destination nodes from DDoS attacks and to determinate the attack patterns and provide suitable counter steps using KDDCup'99 dataset for classification intention and determination indicated that it classifies instances into respective attack types with week sensing rate. This exploit integrates are well recognized classification proficiencies are Random Forest and J48.","","978-1-5090-4740-6","10.1109/ICSCN.2017.8085703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8085703","Anomaly detection;Attack classification;classifier;detection rate;DDoS;Random Forest;J48","Decision trees;Computer crime;Signal processing algorithms;Algorithm design and analysis;Data mining;Signal processing;Distributed databases","computer network security;decision trees;Internet;pattern classification;telecommunication security;wireless LAN","DDoS attacks;decision tree algorithm;aggressive network coverage;security threats;Wi-Fi;hacking attacks;anomaly detection;active data breaches;wireless nodes;attack patterns;wireless fidelity;distributed denial-of-service attack;IEEE 802.111;decision tree procedure","","8","","18","","30 Oct 2017","","","IEEE","IEEE Conferences"
"WiFederated: Scalable WiFi Sensing using Edge Based Federated Learning","S. M. Hernandez; E. Bulut","Department of Computer Science, Virginia Commonwealth University, Richmond, VA, USA. (e-mail: hernandezsm@vcu.edu); Department of Computer Science, Virginia Commonwealth University, Richmond, VA, USA.","IEEE Internet of Things Journal","","2021","PP","99","1","1","WiFi sensing using Channel State Information (CSI) offers a device-free and non-intrusive method for human activity monitoring. However, the data-hungry and location-specific training process hinders its scalable deployment at large sizes. In this work, we propose WiFederated, a federated learning (FL) approach to train machine learning models for WiFi sensing tasks. Using WiFederated, client devices can not only perform training in parallel at the edge instead of sequentially at a central server but can also collaboratively learn and share generalizable location-independent traits about physical actions being monitored. We demonstrate that an FL model trained on as few as 2-3 locations can provide high prediction accuracy in new locations even without any data available from them. We also demonstrate how new locations can achieve higher prediction accuracy even with a small number of available samples when using the pretrained FL model rather than training from scratch. The results show that the FL model can save local training epochs and reduce the need for large data collection at each new location. Thus, the proposed WiFederated system scales as more locations are added. We show that WiFederated provides a more accurate and time efficient solution compared to existing transfer learning and adversarial learning solutions thanks to the parallel training ability at multiple clients. By introducing new client selection methods during the FL process, we also show that accuracy can further increase. Finally, we evaluate the feasibility of training models at the edge and introduce continuous annotation to allow for continuous learning over time.","2327-4662","","10.1109/JIOT.2021.3137793","National Science Foundation(grant numbers:1744624); Commonwealth Cyber Initiative CCI; Virginia Commonwealth University(grant numbers:Presidential Research Quest Fund (PeRQ)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659826","WiFi sensing;federated learning;channel state information (CSI);device-free sensing.","Wireless fidelity;Sensors;Training;Predictive models;Collaborative work;Task analysis;Data models","","","","","","","IEEE","22 Dec 2021","","","IEEE","IEEE Early Access Articles"
"A Portable EEG Monitoring System for Neonatal Seizures","X. Qu; Y. Liu; P. Shen; A. He; Y. Zhang","Nanjing University,School of Electronic Science and Engineering,Nanjing,China; Nanjing University,School of Electronic Science and Engineering,Nanjing,China; Nanjing University,School of Electronic Science and Engineering,Nanjing,China; Nanjing University,School of Electronic Science and Engineering,Nanjing,China; Nanjing University,School of Electronic Science and Engineering,Nanjing,China","2020 13th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","25 Nov 2020","2020","","","686","691","This paper introduces a portable electroencephalogram (EEG) monitoring system for neonatal seizures. The hardware circuit can acquire 8 channels of EEG data or expand to 32 channels. It is characterized in high accuracy, small size, and low power consumption, which can meet the needs of long-term bedside monitoring of newborns. Users can choose different modes to view the historical data of the acquired EEG signals, or real-time data transmitted via WiFi. To further analyze and process the data, this paper introduces a machine learning-based scheme to automatically distinguish between normal and abnormal amplitude-integrated EEG (aEEG) signals. The program extracts the effective feature representation from the data and trains the model. The model can predict the class of unknown aEEG samples, which is helpful for further clinical detection of neonatal brain conditions.","","978-0-7381-0545-1","10.1109/CISP-BMEI51763.2020.9263490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9263490","EEG monitoring;neonatal seizures;WiFi;machine learning;aEEG","Electroencephalography;Wireless fidelity;Power supplies;Pediatrics;Feature extraction;Data communication;Software algorithms","electroencephalography;learning (artificial intelligence);medical signal processing;paediatrics;patient monitoring;wireless LAN","neonatal seizures;portable electroencephalogram monitoring system;hardware circuit;machine learning-based scheme;normal amplitude-integrated EEG;abnormal amplitude-integrated EEG;neonatal brain conditions;newborn monitoring;WiFi","","","","12","","25 Nov 2020","","","IEEE","IEEE Conferences"
